Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
 	Paul Mitchell	m.02jx1	England	people.person.nationality
 	Mirko Markanovic	m.01pj7	Croatia	people.person.nationality
 	Georgios Vidalis	m.035qy	Greece	people.person.nationality
 	Marco BlÃ¤ttermann	m.0345h	Germany	people.person.nationality
 	Kalam Mooniaruck	m.02jx1	England	people.person.nationality
 	Osman Kurtuldu	m.01znc_	Turkey	people.person.nationality
 	Reinhold Heider	m.0345h	Germany	people.person.nationality
 	Marco Koch	m.0345h	Germany	people.person.nationality
 	Nikolaos Meserdis	m.035qy	Greece	people.person.nationality
 	Steve Vickers	m.02jx1	England	people.person.nationality
 	Andreas Binder	m.0345h	Germany	people.person.nationality
 	Stefan Wittwar	m.0345h	Germany	people.person.nationality
 	Olcay Dogu	m.01znc_	Turkey	people.person.nationality
 	Gaizka Mendieta	m.06mkj	Spain	people.person.nationality
 	Bernd Scholten	m.0345h	Germany	people.person.nationality
 	Cribari	m.015fr	Brazil	people.person.nationality
 	Predrag Pazin	m.015qh	Bulgaria	people.person.nationality
 	Sascha Schwarzwald	m.0345h	Germany	people.person.nationality
 	JuliÃ¡n Robles	m.06mkj	Spain	people.person.nationality
 	Pape Thiaw	m.06srk	Senegal	people.person.nationality
 	Michele Serena	m.03rjj	Italy	people.person.nationality
 	Ã“scar SÃ¡nchez	m.06mkj	Spain	people.person.nationality
 	Javier Saviola	m.0jgd	Argentina	people.person.nationality
 	Steven Crawford	m.06q1r	Scotland	people.person.nationality
 	Thomas Eder	m.0h7x	Austria	people.person.nationality
 	Christian Dausel	m.0345h	Germany	people.person.nationality
 	Rui BaiÃ£o	m.05r4w	Portugal	people.person.nationality
 	Coskun Birdal	m.01znc_	Turkey	people.person.nationality
 	Johan Micoud	m.0f8l9c	France	people.person.nationality
 	Hakan Uzun	m.01znc_	Turkey	people.person.nationality
 	BjÃ¶rn de Wilde	m.0154j	Belgium	people.person.nationality
 	Andreas Kuch	m.0345h	Germany	people.person.nationality
 	Dirk GrevelhÃ¶rster	m.0345h	Germany	people.person.nationality
 	Lajos SzÅ±cs	m.03gj2	Hungary	people.person.nationality
 	Lee Carsley	m.03rt9	Ireland	people.person.nationality
 	John Hartson	m.0j5g9	Wales	people.person.nationality
 	Zhivko Milanov	m.015qh	Bulgaria	people.person.nationality
 	Alex Tapp	m.02jx1	England	people.person.nationality
 	Michael Pauls	m.0345h	Germany	people.person.nationality
 	Kim Wolf	m.0345h	Germany	people.person.nationality
 	Jean-Yves Anis	m.0f8l9c	France	people.person.nationality
 	VÃ­tor Oliveira	m.05r4w	Portugal	people.person.nationality
 	Joseph Enakarhire	m.05cgv	Nigeria	people.person.nationality
 	IÃ±igo Larrainzar	m.06mkj	Spain	people.person.nationality
 	Christian Ahlers-Ceglarek	m.0345h	Germany	people.person.nationality
 	Andre Paulsen	m.0345h	Germany	people.person.nationality
 	Rene Redlich	m.0345h	Germany	people.person.nationality
 	Martin Molz	m.0345h	Germany	people.person.nationality
 	Lucas Neill	m.0chghy	Australia	people.person.nationality
 	Arsene NÃ©	 	Cote d'Ivoire	people.person.nationality
 	Tyrone Berry	m.02jx1	England	people.person.nationality
 	Keigan Parker	m.06q1r	Scotland	people.person.nationality
 	Dennis Cagara	m.05v8c	Philippines	people.person.nationality
